rmse val_rmse epochs
186.59062280 84.09476214 0.00000000
15.10012314 15.84929732 1.00000000
1.29299140 1.63018596 2.00000000
0.79293320 1.19696105 3.00000000
0.51572616 0.98196192 4.00000000
0.23631735 0.79651183 5.00000000
0.23277012 0.79061499 6.00000000
0.22695620 0.77644966 7.00000000
0.20351624 0.92809894 8.00000000
0.17597202 0.98631127 9.00000000
0.17437333 1.02437488 10.00000000
0.16893360 1.01939598 11.00000000
0.16474260 1.07894192 12.00000000
0.15719642 1.11392347 13.00000000
0.15626429 1.14520410 14.00000000
0.15340983 1.14431541 15.00000000
0.15146750 1.18794966 16.00000000
0.14786531 1.21333319 17.00000000
0.14739632 1.23628963 18.00000000
0.14597381 1.23695397 19.00000000
0.14502594 1.26909849 20.00000000
0.14325473 1.28742984 21.00000000
0.14301812 1.30411277 22.00000000
0.14230550 1.30523530 23.00000000
0.14184339 1.32835349 24.00000000
0.14096988 1.34141992 25.00000000
0.14084772 1.35362124 26.00000000
0.14048468 1.35476916 27.00000000
0.14026126 1.37097752 28.00000000
0.13982960 1.38017954 29.00000000
0.13976369 1.38929927 30.00000000
0.13957273 1.39033120 31.00000000
0.13946666 1.40066751 32.00000000
0.13925072 1.40815009 33.00000000
0.13919555 1.41886196 34.00000000
0.13906488 1.41854506 35.00000000
0.13904351 1.42140308 36.00000000
0.13897529 1.42601402 37.00000000
0.13889273 1.44286105 38.00000000
0.13877125 1.44182570 39.00000000
0.13876268 1.44331776 40.00000000
0.13873298 1.44671290 41.00000000
0.13870122 1.45573020 42.00000000
0.13864516 1.45514569 43.00000000
0.13862901 1.45816963 44.00000000
0.13859283 1.46244692 45.00000000
0.13858402 1.46660210 46.00000000
0.13856150 1.46519213 47.00000000
0.13855603 1.46567900 48.00000000
0.13854053 1.46812199 49.00000000
0.13853598 1.47037641 50.00000000
0.13852134 1.46921835 51.00000000
0.13849057 1.47267457 52.00000000
0.13841870 1.46919837 53.00000000
0.13816535 1.46523666 54.00000000
0.13813257 1.46638074 55.00000000
0.13777478 1.45700515 56.00000000
0.13775719 1.45435912 57.00000000
0.13767814 1.45726993 58.00000000
0.13729349 1.45142654 59.00000000
0.13679900 1.44458725 60.00000000
0.13617834 1.42502350 61.00000000
0.12774054 1.26875418 62.00000000
0.11665295 1.19556424 63.00000000
0.11523551 1.14259618 64.00000000
0.11088472 1.14180452 65.00000000
0.10860107 1.09488873 66.00000000
0.10313759 1.05057160 67.00000000
0.10147416 0.99622309 68.00000000
0.09700809 0.99245419 69.00000000
0.09471379 0.94441733 70.00000000
0.08938550 0.90548947 71.00000000
0.08816833 0.86421315 72.00000000
0.08463772 0.86113931 73.00000000
0.08240852 0.81517583 74.00000000
0.07742133 0.77952163 75.00000000
0.07629564 0.74200261 76.00000000
0.07295819 0.73731341 77.00000000
0.06967276 0.67005599 78.00000000
0.06352229 0.62235255 79.00000000
0.05996014 0.55140243 80.00000000
0.04635887 0.43184638 81.00000000
0.00519384 0.00539880 82.00000000
0.00135422 0.00129858 83.00000000
0.00002236 0.00083669 84.00000000
0.00002190 0.00080327 85.00000000
0.00001990 0.00059383 86.00000000
0.00001696 0.00054341 87.00000000
0.00001572 0.00057315 88.00000000
0.00001135 0.00043762 89.00000000
0.00001126 0.00043106 90.00000000
